ID,Creak Claim,Modified Claim,Answer,Answer original,KG Entities (Labels and QIDs),KG Triples,Inference Rule,Reasoning Steps,#of Hops,Comments,,
C35,Boris Yeltsin lead the British to victory over the French in a war.,Michael Seymour could have taken part in the 1947 Opium war.,FALSE,FALSE,Michael Seymour (Q338366),"(Michael Seymour, date of death, 23 February 1887)",Michael Seymour must have been alive in 1947 to make the claim correct.,,,,,
C36,Alexander Graham Bell will contest in the next presidential elections.,Martin Slobodník is likely to contest in the next presidential elections in Alajos Mészáros's homeland.,FALSE,FALSE,"Martin Slobodník (Q13441443), Alajos Mészáros (Q11684841)
","(Martin Slobodník, date of death, 14 April 2019)",Martin Slobodník must be alive and have the same nationality as Alajos Mészáros to make the claim correct.,,,The guy's dead.,,
C37,Margaret Thatcher leads the Government of the United Kingdom.,Nodar Khashba and Margaret Thatcher held the same position but in different times and locations.,TRUE,FALSE,"Nodar Khashba (Q4496777), Margaret Thatcher (Q7416)
","(Nodar Khashba, position held, Prime Minister of Abkhazia), (Margaret Thatcher, position held, Prime Minister of the United Kingdom)","The positions that Nodar Khashba and Margaret Thatcher held must have been the same, but be located in different countries to make the claim correct.",,,,,
C38,George S. Patton illustrated children's books for a living.,Martina Di Bari mostly uses her foot when doing her job.,TRUE,FALSE,Martina Di Bari (Q63248967),"(Martina Di Bari, occupation, association football player)",Martina Di Bari's occupation must involve extensive use of foot to make the claim correct.,,,,,
C39,Only on Wednesday can people go to church.,Elizabeth Kaeton typically had to go to work on Sundays.,TRUE,FALSE,"Elizabeth Kaeton (Q1331240)
","(Elizabeth Kaeton, occupation, priest)",Elizabeth Kaeton must have an occupation that is required to work on Sundays to make the claim correct.,,,She was a priest.,,
C40,The history of mathematics spans many centuries.,Maria Adeodata Pisani's life spanned two centuries.,FALSE,TRUE,Maria Adeodata Pisani (Q281427),"(Maria Adeodata Pisani, date of birth, 29 December 1806), (Maria Adeodata Pisani, date of death, 25 February 1855)",The dates of birth and death of Maria Adeodata Pisani must be in different centuries to make the claim correct.,,,,,
C41,Victoria Beckham married David Beckham and are still together.,Francesco Totti and Ilary Blasi are experiencing a successful marriage.,FALSE,TRUE,"Francesco Totti (Q20110), Ilary Blasi (Q287186)
","(Francesco Totti, spouse, Ilary Blasi {end time, 2022})",There must be no evidence of Francesco Totti and Ilary Blasi's romantic relationship to have ended to make the claim correct.,,,,,
C42,LeBron James is the star of the US Open.,Emmanuel Paman has likely participated in the Río de la Plata Challenger.,FALSE,FALSE,"Emmanuel Paman (Q18747786), Río de la Plata Challenger (Q3936244)
","(Emmanuel Paman, sport, taekwondo), (Río de la Plata Challenger, instance of, recurring tennis tournament)",Emmanuel Paman must be involved in the same sport as Río de la Plata Challenger for the claim to be likely true. ,,,,,
C43,One can see both the Statue of Freedom and the United States Capitol at the same time.,One can see the Alaviyan Dome and the Dome of Soltaniyeh at the same time.,FALSE,TRUE,"Alaviyan Dome (Q5910145), Dome of Soltaniyeh (Q20645774)
","(Alaviyan Dome, location, Hamadan), (Dome of Soltaniyeh, location, Soltaniyeh
)",Alaviyan Dome and the Dome of Soltaniyeh must be located close to each other to make the claim correct.,,,,,
C44,Nicholas II of Russia recently lost re-election to Vladimir Putin.,Iryna Antypenko may be the next president of Sergey Ryazansky's homeland.,FALSE,FALSE,"Iryna Antypenko (Q12078566), Sergey Ryazansky (Q3329196)
","(Iryna Antypenko, country of citizenship, Ukraine), (Sergey Ryazansky, country of citizenship, Russia)",Iryna Antypenko must be alive and have the same country of citizenship as Sergey Ryazansky to make the claim correct.,,,,,
C45,John Dryden died with no children.,Rahi Mo'ayyeri died with no children.,TRUE,FALSE,Rahi Mo'ayyeri (Q1533736),,There must be no evidence of Rahi Mo'ayyeri having a child to make the claim correct.,,,,,
C46,Dan Brown criticizes the Catholic Church.,Park Hon-young didn't care about the Catholic Commandments.,TRUE,TRUE,Park Hon-young (Q334297),"(Park Hon-young, religion or worldview, atheism)",Park Hon-young must have a religous belief other than  Catholic christianity to make the claim correct.,,,,,
C47,People need a dice and a deck of cards to play Texas hold 'em.,The only thing required to play Ahmed-Hasan Khokhar's favourite sport is a raquet.,FALSE,FALSE,Ahmed-Hasan Khokhar (Q4695687),"(Ahmed-Hasan Khokhar, occupation, tennis player)",Ahmed-Hasan Khokhar's sport must not require any other equipment beyond a raquet.,,,,,
C48,Winning the US Open is one of the greatest achievements and also one of the major titles in the tennis world.,Winning the US Open was likely one of the greatest professional achievments that Ankita Bhambri could dream of.,TRUE,TRUE,"US Open (Q123577), Ankita Bhambri (Q4766071)
 ","(US Open, description, annual Grand Slam tennis tournament in New York, United States), (Ankita Bhambri, sport, tennis)",US Open must be a notable tournament in the sport that Ankita Bhambri plays to make the claim correct.,,,,,
C49,Benito Mussolini supported democracy for countries.,Hussein Ali Shido's party supported anti-capitalism.,FALSE,FALSE,Hussein Ali Shido (Q5949730),"(Hussein Ali Shido, member of political party, United Somali Congress), (United Somali Congress, political ideology, anti-communism)",The political ideology of Hussein Ali Shido's party must be in close alignment with communism and socialism.,,,,,
C50,Robert Fripp died due to the pandemic last year.,Pindale Min's death was related to a pandemic disease.,FALSE,FALSE,Pindale Min (Q3388649),"(Pindale Min, manner of death, homicide)",There must be evidence showing that Pindale Min died due to a pandemic disease to make the claim correct.,,,,,
C51,People go to Dave Grohl for cooking advice.,It is logical to ask for cooking advice from María Mestayer.,TRUE,FALSE,María Mestayer (Q11691157),"(María Mestayer, occupation, cook)",María Mestayer must be a specialist in food or cooking to make the claim correct.,,,,,
C52,Koreans split into East and West Korea.,Oh Seong-ok's country is split to two East and West sovereign states.,FALSE,FALSE,Oh Seong-ok (Q179633),"(Oh Seong-ok, country of citizenship, South Korea)",Oh Seong-ok's country of citizenship must be widely known to be divided into eastern and western parts.,,,,,
C53,Laurence Fishburne ceases to act in movies.,Yaroslav Fedoryshyn ceases to act in movies.,TRUE,FALSE,Yaroslav Fedoryshyn (Q65211093),"(Yaroslav Fedoryshyn, date of death, 20 March 2020)",Yaroslav Fedoryshyn must have ended his career as an actor or have died to make the claim correct.,,,,,
C54,The civil engineer designed the new suspension bridge in the city.,Władysław Folkierski had likely learned the knowledge required to design suspension bridges.,TRUE,TRUE,Władysław Folkierski (Q3215942),"(Władysław Folkierski, occupation, [engineer, engineer of the French Corps of Bridges and Roads])",Władysław Folkierski must have studied civil engineering to learn the knowledge required for making suspension bridges.,,,,,
C55,Quantum mechanics can fix a lot of cars.,Konrad Banaszek made a living by fixing a lot of cars.,FALSE,FALSE,Konrad Banaszek (Q52012532),"(Konrad Banaszek, occupation, [physicist, university teacher])",Konrad Banaszek must have been a mechanic to make the claim correct.,,,,,
C56,Slayer has performed in various concerts around the world.,Nancy Makri performs in various concerts around the world.,FALSE,TRUE,Nancy Makri (Q20675585),"(Nancy Makri, occupation, [physicist, chemist, university teacher])",Nancy Makri must be a famous singer to make the claim correct.,,,,,
C57,"As a lawyer, John C. Calhoun fought for African American rights.","Peter Brimelow would support the ""black lives matter"".",FALSE,FALSE,Peter Brimelow (Q7172964),"(Peter Brimelow, political ideology, white supremacy)","Peter Brimelow must be a supporter of the black people's rights for him to be likely to support ""black lives matter"".",,,,,
C58,Richard Linklater has won awards for his work as a director.,Marc de Cacqueray-Valménier has won awards for his work as a director.,FALSE,TRUE,Marc de Cacqueray-Valménier (Q110007957),"(Marc de Cacqueray-Valménier, occupation, political activist)",Marc de Cacqueray-Valménier must have been a director and won awards for his movies to make the statement correct.,,,,,
C59,Florence Nightingale treated people in England.,Victor Mermelstein treated people in Israel.,TRUE,TRUE,"Victor Mermelstein (Q96679554)
","(Victor Mermelstein, residence, Petah Tikva), (Victor Mermelstein, occupation, neurologist), (Petah Tikva, country, Israel)",Victor Mermelstein must have an occupation related to treating people such as being a nurse or a medical doctor for him to be likely to treat people in Israel.,,,,,
C60,the President of India lives in india.,Javier Milei is likely to live in Argentina during 2024.,TRUE,TRUE,"Javier Milei (Q52395487)

","(Javier Milei, description, economist, politician and president of Argentina since 2023)",Javier Milei must be an Argentinian or have an occupation that forces him to live in Argentina to make the claim correct.,,,,,
C61,The civil engineer designed the road system in the city.,Árpád Klatsmányi was likely to be aware of the second law of thermodynamics.,TRUE,TRUE,Árpád Klatsmányi (Q1113547),"(Árpád Klatsmányi, occupation, mechanical engineer)",Árpád Klatsmányi must be familiar with thermodynamics to make the claim correct.,,,,,
C62,The Russian Revolution inspired the American Revolution,Persian Constitutional Revolution inspired the Shinpūren Rebellion.,FALSE,FALSE,"Persian Constitutional Revolution (Q1368440), Shinpūren Rebellion (Q2975371)
","(Persian Constitutional Revolution, point in time, 1905), (Shinpūren Rebellion, point in time, 1876)",Persian Constitutional Revolution must have occured before the Shinpūren Rebellion to be able to have influence on it.,,,,,
C63,Richard Linklater directed some popular movies.,Elvíra Němečková had to use her body to perform her job.,TRUE,TRUE,Elvíra Němečková (Q95396788),"(Elvíra Němečková, occupation, dancer)",Elvíra Němečková's occupation must involve physical activity and considerable body movement to make the claim correct.,,,,,
C64,All nuns act in holy ways.,Léocadie Gascoin considered her job as being holy.,TRUE,TRUE,Léocadie Gascoin (Q3270596),"(Léocadie Gascoin, occupation, nun)",Léocadie Gascoin must have an occupation that is relevant to her religous beliefs to cosinder her job holy. ,,,,,
C65,The Statue of Freedom stands taller than the Statue of Liberty.,The Dome of Soltaniyeh stands taller than the Alaviyan Dome.,TRUE,FALSE,"Dome of Soltaniyeh (Q20645774), Alaviyan Dome (Q5910145)
","(Dome of Soltaniyeh, height, 49 metre), (Alaviyan Dome, height, 11.5 metre)",The height of the dome of Soltaniyeh must be greater than the height of the Alaviyan Dome to make the claim correct.,,,,,
C66,Professional boxing often involves very violent fighting.,Vladimer Chanturia's occupation involves violent fighting.,TRUE,TRUE,Vladimer Chanturia (Q593344),"(Vladimer Chanturia, occupation, boxer)",Vladimer Chanturia's occupation must require getting involved in fights to make the claim correct.,,,,,
C67,John Dewey famously did not believe in God.,Lorca Spiti is likely to not believe in god.,FALSE,TRUE,Lorca Spiti (Q12237569),"(Lorca Spiti, religion or worldview, Islam)",Lorca Spiti must be an atheist to make the claim correct.,,,,,
C68,The Druze serve as the main Christian group in Lebanon.,Sara Al-Hani is likely to believe in Trinity.,FALSE,FALSE,Sara Al-Hani (Q12215024),"(Sara Al-Hani, religion or worldview, Islam)",Sara Al-Hani must believe in Christianity to make the claim correct.,,,,,
C69,Brakes make the car go faster.,Brakes of the HSV Senator make it go faster.,FALSE,FALSE,HSV Senator (Q946517),"(HSV Senator, instance of, automobile model)",HSV Senator must not be a regular vehicle to have its brakes increasing its speed instead of decreasing it.,,,,,
C70,Zack Ryder now wrestles for WWE.,Tawfiq-e-Elahi Chowdhury needs significant physical abilities to be able to do his job.,FALSE,FALSE,"Tawfiq-e-Elahi Chowdhury (Q16345559)
","(Tawfiq-e-Elahi Chowdhury, occupation, politician)",Tawfiq-e-Elahi Chowdhury's occupation must require significant physical activity to make the claim correct.,,,,,
C71,"You can celebrate lent, the Atheist's holiday.",Mina Ahadi is likely to celebrate Lent.,FALSE,FALSE,Mina Ahadi (Q113781),"(Mina Ahadi, religion or worldview, atheism)",Mina Ahadi must be a Christian for her to be likely to celebrate Lent.,,,,,
C72,Menopause happens to women at an older age.,Jazmine Rowe is unlikely to be experiencing menopause in 2023.,TRUE,TRUE,,,,,,,,
C73,Women use their scrotum to create babies.,Natalie Kratenova is likely to have a uterus.,TRUE,FALSE,Natalie Kratenova (Q56087479),"(Natalie Kratenova, sex or gender, female)",Natalie Kratenova must be a female person to be likely to have an uretrus.,,,,,
C74,America was a member of the Axis powers.,María Subíes Forcada's home country was among the allied powers.,FALSE,FALSE,María Subíes Forcada (Q105721845),"(María Subíes Forcada, country of citizenship, Spain)","María Subíes Forcada must have been a citizen of either the USA, Britain, Soviet Union, or China to make the claim correct.",,,,,
C75,Good Friday plays an important role in religious festivities in Mexico.,Marisa Mazari Hiriart is likely to celebrate the Good Friday.,TRUE,TRUE,Marisa Mazari Hiriart (Q105590092),"(Marisa Mazari Hiriart, religion or worldview, Catholicism)",Marisa Mazari Hiriart must be a Christian to celebrate the Good Friday. ,,,,,
C76,Susan Sarandon votes like a conservative Republican.,Sahra Wagenknecht often votes like a conservative Republican.,FALSE,FALSE,Sahra Wagenknecht (Q77193),"(Sahra Wagenknecht, political ideology, communism)",Sahra Wagenknecht's political ideology must be close to conservative republicans to vote like them. ,,,,,
C77,Hector Berlioz made music for a living.,Jazmine Rowe made music for a living.,TRUE,TRUE,,,,,,,,
C78,"Someone living in Massachusetts would most likely travel by plane to reach Portsmouth, New Hampshire.",Someone living in Gujan would most likely travel by plane to reach Aousserd.,TRUE,FALSE,"Gujan (Q5103164), Aousserd (Q2026640)
","(Gujan, country, Iran), (Aousserd, part of, Western Sahara)",Gujan and Aousserd must be considerably distant from each other to make it likely for people to travel between them by plane.,,,,,
C79,Menachem Begin represented a country based on Christianity.,Avraham Betzalel is from a primarily Christian country.,FALSE,FALSE,Avraham Betzalel (Q115095945),"(Avraham Betzalel, country of citizenship, Israel)",Avraham Betzalel must be the citizen of a country in which the majority of people practice Christianity to make the claim correct.,,,primarily Christian country?,,
C80,"People either know Tim McGraw by having listened to his music, watching him on TV, or familiarity with his wife, Faith Hill.",People only know Belén Rodríguez by watching her movies or seeing her as a model.,FALSE,TRUE,Belén Rodríguez (Q465805),"(Belén Rodríguez, occupation, [actor, television presenter])",Belén Rodríguez's only occupation that makes her famous must be modeling to make the claim correct.,,,,,
C81,Bruce Lee used to teach martial art. He opened a martial arts school.,It makes sense for Loik Laloum to open a martial arts school to earn a living.,TRUE,TRUE,Loik Laloum (Q18924156),"(Loik Laloum, occupation, taekwondo athlete)",Loik Laloum must know martial arts or be very familiar with them for him to make sense to open a martial arts school.,,,,,
C82,Michelle Obama birthed sons as part of the family of Barack Obama.,Lee Hui-ho birthed a son as part of the family of Kim Dae-jung.,TRUE,FALSE,"Lee Hui-ho (Q11267083), Kim Dae-jung (Q45785)

","(Lee Hui-ho, spouse, Kim Dae-jung), (Lee Hui-ho, child, Kim Hong-gul), (Kim Hong-gul, sex or gender, male)",Lee Hui-ho must be married to Kim Dae-jung and have delivered at least one male child to make the claim correct. ,,,,,
C83,The Turkish invasion of Cyprus involved the use of nuclear weapons.,Masanobu Tsuji took place in the only war in which nuclear weapons were used.,TRUE,FALSE,Masanobu Tsuji (Q256584),"(Masanobu Tsuji, conflict, World War II)","Masanobu Tsuji must have been involved in the World War II, the only conflict in which a nuclear weapon was used, to make the claim correct.",,,,,
C84,"Robert De Niro loves his country, Germany.",Eveline Poncio loves his country Portugal.,FALSE,FALSE,"Eveline Poncio (Q91345652)

","(Eveline Poncio, country of citizenship, Brazil)",Eveline Poncio must be a Portugese citizen and love his country to make the claim correct.,,,,,
C85,Some females can have a scrotum if they are transgender.,Carla Novaes is a female but she once had a scrotum in her life.,TRUE,TRUE,"Carla Novaes (Q52768046)
","(Carla Novaes, sex or gender, trans woman)",Carla Novaes must be a male or a trans female to have experienced havin a scrotum.,,,"she is a trans woman. 
""once had a scrotum""",,
C86,Many people eat dosa in India.,People from Ankita Bhambri's country typicaly love dosa.,TRUE,TRUE,"Ankita Bhambri (Q4766071), dosa (Q920940)

","(Ankita Bhambri, country of citizenship, India), (dosa, description, thin pancakes originating from South India)",Ankita Bhambri must be the citizen of the country or be familiar with the coutnry where dosa is part of their cuisine to make the statement correct.,,,,,
C87,Victoria Beckham married a soccer player.,Bogna Sobiech married an athlete who does a different sport from her.,TRUE,TRUE,Bogna Sobiech (Q890608),"(Bogna Sobiech, sport, handball), (Bogna Sobiech, spouse, Artur Sobiech), (Artur Sobiech, sport, association football)",The sport that Bogna Sobiech's spouse plays must be different from Bogna Sobiech's sport to make the claim correct.,,,own sport makes sense but might be a little confusing for the LLM (idk) -> different sport?,,
C88,Susan Sarandon performed in front of the camera.,Diana Aster typically performs in front of the camera.,TRUE,TRUE,Diana Aster (Q102329150),"(Diana Aster, occupation, video blogger)",Diana Aster's occupation must involve performing in front of the camera to make the claim correct.,,,,,
C89,Nuns get paid millions of dollars for their work.,Placida Laubhardt got paid millions of dollars for her work.,FALSE,FALSE,Placida Laubhardt (Q2097888),"(Placida Laubhardt, occupation, Christian nun)",Placida Laubhardt must have an occupation with a salary in the order of million dollars to make the claim correct.,,,,,
C90,Harry Potter can teach classes on how to fly on a broomstick.,Bogna Sobiech can teach classes on how to play handball.,TRUE,TRUE,Bogna Sobiech (Q890608),"(Bogna Sobiech, occupation, handball player)",Bogna Sobiech must know how to play handball to be able to teach it to other people.,,,,,
C91,"Dance remains a critical component of theatrical productions, especially musicals.",Many actors in Belle of Old Mexico sing and dance.,TRUE,TRUE,Belle of Old Mexico (Q16248655),"(Belle of Old Mexico, genre, musical comedy)",Belle of Old Mexico must be a musical film to make the claim correct.,,,,,
