ID,StrategyQA Question,Modified Question,Answer,Answer Original Question,Comments,,,,,
S29,Is Bucharest located south of Egypt?,Is Lowshan located south of Gubadly?,TRUE,TRUE,,,,,,
S30,Would the author of Little Women have remembered the ratification of the 13th Amendment?,Would the author of Midō Kanpakuki have remembered the promulgation of the Charter oath?,FALSE,FALSE,,,,,,
S31, Was Dorothea Wendling from same place Porsche originated?,Was Darya Dadvar from the same city that used to be Afsharid Empire’s center of power?,TRUE,TRUE,,,,,,
S32, Did Brazilian jiu-jitsu Gracie founders have at least a baker's dozen of kids between them?,Did directors of the Better call Saul together have at least a baker's dozen of occupations?,TRUE,TRUE,Did the Gracie founders of Brazilian jui-jitsu have at least a baker's dozen of kids among them?,,,,,
S33, Did Mozart ever buy anything from Dolce & Gabbana?,Could Kaká have bought a car from Jordan Motor Car Company?,FALSE,FALSE,,,,,,
S34, Are any of J.K. Rowling's books in the genre of And Then There Were None?,Are any of Mahmoud Dowlatabadi's works in the genre of The Makioka Sisters?,TRUE,TRUE,,,,,,
S35, Did Jay-Z ever collaborate with Louis Armstrong?,Could Andrea Mantovani and Piero Pasinati ever have been teammates?,FALSE,FALSE,,,,,,
S36, Did Christopher Columbus sail representing a different country than his original home?,Did Juan Antonio Pizzi play for a country other than the place he was born in?,TRUE,TRUE,,,,,,
S37, Could you drive from New England to a Sainsbury's?,Could you travel from Gujan to Aousserd only by car?,FALSE,FALSE,,,,,,
S38, Can Simon Cowell vote for the next Supreme Court judge?,Could Giorgos Zygouris have voted for Kim Jong-un?,FALSE,FALSE,,,,,,
S39, Did Cynthia Powell celebrate a silver anniversary with John Lennon?,Did Ilary Blasi celebrate a silver anniversary with Francesco Totti?,Did Ilary Blasi celebrate a silver anniversary with Francesco Totti?,FALSE,,,,,,
S40, Did Al Pacino act in a movie during World War II?,Could Sura Iskenderli have had a performance during the Iran-Iraq war?,FALSE,FALSE,,,,,,
S41, Is the tibia necessary to win the Stanley Cup?,Is the tibia necessary for someone to be able to win the Torneo Internazionale Regione Piemonte?,TRUE,TRUE,,,,,,
S42, Would someone in Mumbai refer to Solanum melongena as an eggplant?,Would someone in Panji Poyon refer to Alhagi maurorum as a Camel Thorn in his mother tongue?,FALSE,FALSE,,,,,,
S43, Could a dandelion suffer from hepatitis?,Could an Abstang suffer from cytosporosis?,FALSE,FALSE,,,,,,
S44, Was the original James Bond actor born near the Washington Monument?,Was the author of Kitab al-A'laq al-Nafisah born near the Davarpanah Mausoleum?,TRUE,TRUE,,,,,,
S45, Was Charlemagne's father instrumental in outcome of the Battle of Tours?,Could Urmila Kanetkar- Kothare’s husband have been instrumental in the Parti Tudeh?,FALSE,FALSE,,,,,,
S46, Could a giant squid fit aboard the deck of the Titanic?,Could Quidam de Revel fit in HMS Abercrombie?,TRUE,TRUE,,,,,,
S47, Could Oscar Wilde have operated a motor vehicle?,Could Ludmilla Pajo have operated a motor vehicle?,TRUE,TRUE,,,,,,
S48, Has a neanderthal ever served on the Supreme Court of the United States?,Could Nizam-ud-din Auliya have served on the Court of Cassation?,FALSE,FALSE,,,,,,
S49, Is Linus Torvalds' wife unable to physically defend herself?,Is it likely for Eve Uusmees’ husband to be able to physically defend himself?,TRUE,FALSE,,,,,,
S50, Did Eric Clapton have similar taste in women to one of the Beatles?,Did Ekaterina Svanidze and Nadezhda Alliluyeva have similar taste in men?,TRUE,TRUE,,,,,,
S51, Did Eddie Murphy's father see his first stand up show?,Could Ianis Hagi’s dad have seen his debut in Serie A?,TRUE,FALSE,,,,,,
S52, Did Evander Holyfield compete in an Olympics hosted in the western hemisphere?,Did Koji Kuramoto compete in an Olympics hosted in the western hemisphere?,TRUE,TRUE,,,,,,
S53, Was Donald Trump the target of Islamophobia?,Could Yusuf Çetin have been a target of Islamophobia?,FALSE,FALSE,,,,,,
S54, Did either Kublai Khan or his grandfather practice monogamy?,Did either Möngke Khan or his father practice monogamy?,FALSE,FALSE,,,,,,
S55, Did Van Gogh suffer from a mental disorder?,Did Ala al-Din Muhammad III suffer from a mental disorder?,TRUE,TRUE,,,,,,
S56, Is the span in C-SPAN named after Alan Greenspan?,Is the first S in the official abbreviated name of SBS TV's owner named after a city?,TRUE,FALSE,,,,,,
S57," At a presentation about post traumatic stress disorder, would Ariana Grande be a topic of relevance?","At a presentation about post traumatic stress disorder, would Deena Lynch be a topic of relevance?",TRUE,TRUE,,,,,,
S58, Could you read The Atlantic magazine during the Games of the XXII Olympiad?,Could Giovanni Battista Crespi have read L'apostolato popolare?,FALSE,TRUE,,,,,,
S59," Could Elizabeth I of England have seen the play Dido, Queen of Carthage ?",Could Andreas Knopken have seen the play Verklungene Feste?,FALSE,TRUE,,,,,,
S60, Did the writer of Christmas carol fast during Ramadan?,Is it likely for the director of Demitri Cantemir to fast during Ramadan?,FALSE,FALSE,,,,,,
S61, Would Janet Jackson avoid a dish with ham?,Is it likely for Aaron Hyman to avoid a dish with ham?,TRUE,TRUE,,,,,,
S62, Was the Euro used in Prussia?,Was Bayu Gatra Sanggiawan’s income mostly paid to him in renminbi?,FALSE,FALSE,,,,,,
S63, Could a llama birth twice during War in Vietnam (1945-46)?,Would it be possible for a cheetah to have lived during the whole Laotian Civil War?,FALSE,FALSE,,,,,,
S64, Is Rick and Morty considered an anime?,Is Vegeterrible considered an anime?,FALSE,FALSE,,,,,,
S65, Is Bern located east of Paris?,Is Channur Khalsa located south of Ziadin?,TRUE,TRUE,,,,,,
S66, Was Martin Luther same sect as Martin Luther King Jr.?,Was Majid al-Attar in the same sect as Bahjat al-Attiyah?,FALSE,FALSE,IN the same sect?,,,,,
S67, Could someone have arrived at Wrestlemania X in a Toyota Prius?,Could someone have arrived at a match from the Azadegan league with a brand-new Ford Parklane?,FALSE,FALSE,,,,,,
S68, Was Snoop Dogg's debut studio album released on the weekend?,Was Digão’s brother playing for a club based in Brazil when Bojana Atanasovska began her career?,TRUE,FALSE,,,,,,
S69, Was Richard III ruler of Adelaide?,Were commands of the Soviet Union’s government effective in Vilnius one month before the day Soviet Union collapsed?,FALSE,FALSE,I'm not really sure what this question means lol,,,,,
S70, Would a silicon shortage be bad for Intel's sales?,Would a silicon shortage cause a crisis for Regio Călători's sales?,FALSE,TRUE,,,,,,
S71, Is Islamophobia against Cyprus majority religion misdirected?,Would Louis Bookman accuse someone of being antisemitic if he faced religious discrimination?,TRUE,TRUE,Mention religious discrimination instead of general bad treatment? e.g. Would Louis Bookman accuse someone of being antisemitic if he faced religious discrimination?,,,,,
S72, Does Amtrak operate four wheel vehicles?,Do GreenGo customers operate four wheel vehicles?,TRUE,TRUE,,,,,,
S73, Did the Social Democratic Party of Germany help Frederick II become King of Prussia?,Could the Inkatha Freedom Party help Charles Robberts Swart become president?,FALSE,FALSE,,,,,,
S74, Did Boris Yeltsin watch the 2008 Summer Olympics?,Could Sepp Herberger have been a suspect for the 2014 Kunming attack?,FALSE,FALSE,,,,,,
S75, Would you be likely to see storks at a baby shower?,Would you be likely to see storks at the baby shower of Hermann Hummels’ son in 1988?,TRUE,TRUE,,,,,,
S76, Was Snoop Dogg an adult when Tickle Me Elmo was popular?,Was Jean-François Gillet an adult when Lokendra Bahadur Chand left power for the last time?,TRUE,TRUE,,,,,,
S77, Would it be difficult to host Stanley Cup Finals at Rock in Rio?,Would it be difficult to host the Viking Cup in the birthplace of Mihera Bint Abboud?,TRUE,TRUE,,,,,,
S78," Would the trees in Auburn, New York be changing colors in September?",Would the trees in Chelforó be changing colors in September?,FALSE,TRUE,,,,,,
S79, Can Amtrak's Acela Express break the sound barrier?,Would it be plausible to say that one of Regio Călători's vehicles has broken the sound barrier?,FALSE,FALSE,,,,,,
S80, Could a firewall be destroyed by a hammer?,Could JAJC be destroyed by a hammer?,FALSE,FALSE,,,,,,
S81, Was The Jackson 5 bigger family band than The Isley Brothers?,Did Checheyikhen make a bigger family than Naser al-Din Shah Qajar?,FALSE,,,,,,,
S82, Is a railroad engineer needed during NASCAR events?,Would a person with the same occupation as Zheng Liangshu be needed during the SCCA ProRally?,FALSE,TRUE,,,,,,
S83, Does the Dalai Lama believe in the divine barzakh?,Is it likely for Nancy Anne Sakovich to believe in the barzakh?,TRUE,FALSE,,,,,,
S84, Did Helen Keller ever read a novel by J. K. Rowling?,Could Yanagiwara Naruko have read one of Shana Yardan’s works?,FALSE,FALSE,,,,,,
S85, Can Larry King's ex-wives form a water polo team?,Did Golin Khanum’s spouse have enough wives to form a Volleyball team from them?,TRUE,TRUE,,,,,,
S86, Did Mike Tyson train to use the gogoplata?,Did Jürgen Brähmer train to use the gogoplata?,FALSE,FALSE,,,,,,
S87, Did Jane Austen suffer from middle child syndrome?,Could Paolo Cannavaro have suffered from the syndrome of middle children?,FALSE,FALSE,,,,,,
S88, Are there people who are men who experience menstruation?,Is it possible for Rinu to have experienced menstruation?,TRUE,TRUE,,,,,,
S89, Are Brian Cranston and Saoirse Ronan's combined Emmy Awards a prime number?,Does the number of clubs that Gienir Garcia played for and the number of clubs that Ismael Rodriguez played for add up to a prime number?,TRUE,FALSE,,,,,,
S90, Would an American feel lost due to language barriers at Disneyland Paris?,Would Juan Cuda feel lost due to language barriers at Reggio Emilia?,FALSE,FALSE,,,,,,
S91, Is Rurouni Kenshin from same country as lead character in Nobunaga's Ambition?,Is Jang Na-ra from the same country as the director of Okja?,TRUE,TRUE,,,,,,
S92, Did Immanuel Kant ever meet the 14th president of the United States?,Could Milla Jadot have received an official invitation from the Czechoslovakia government?,FALSE,FALSE,,,,,,
S93, Did Martin Luther believe in Satan?,Is it likely for Johann Richmann to believe in Satan?,TRUE,TRUE,,,,,,
S94, Is it common for women to have moustaches?,Is it likely for Lionel Lundell to have a mustache in 2024?,FALSE,FALSE,,,,,,
S95, Can a Toyota Supra make a vlog?,Could an IKCO Samand make a vlog on its own?,FALSE,FALSE,,,,,,
S96, Does Adam Sandler skip celebrating Easter?,Is it likely for Adrian Rochet to skip celebrating Easter?,TRUE,TRUE,,,,,,
S97, Would Statue of Liberty be visible if submerged in Bohai Sea?,Would the top of the Dome of Soltaniyeh be visible if you submerge it in Urmia lake?,TRUE,TRUE,,,,,,
S98, Is the Matrix a standalone movie?,Is Geats Extra: Kamen Rider PunkJack a standalone movie?,FALSE,FALSE,,,,,,
S99, Do children's bicycles often have extra wheels?,Is it likely for Lionel Lundell to ride a bike with extra wheels in 2024?,TRUE,TRUE,,,,,,
S100, Would most school children in New York be wearing jackets on groundhog day?,Would most people in New York be wearing jackets on Rajyavardhan Rathore’s birthday?,TRUE,TRUE,,,,,,
S101, Did Jesus go to school to study railroad engineering?,Could Ibn al-Muqaffa' have studied railroad engineering?,FALSE,FALSE,,,,,,
S102," Would mooncakes be easy to find in Chinatown, Manhattan?",Is it likely to find mooncakes in the birthplace of Ian Barbour?,TRUE,TRUE,,,,,,
S103, Was King Arthur at the beheading of Anne Boleyn?,Could Mahmud of Ghazni have been at the execution of Mansur Al-Hallaj?,FALSE,FALSE,,,,,,
S104, Could the children of Greek hero Jason hypothetically fill a polo team?,Could Kim Dae-jung form a polo team from his children?,FALSE,TRUE,,,,,,
S105, Could an escapee swim nonstop from Alcatraz island to Siberia?,Could an escapee swim nonstop from Kfarfou to Bezenjan?,FALSE,FALSE,,,,,,
S106, Could Casio's first invention be worn around the ankle?,Could any product of the Yerevan Jewellery Plant be worn around the ankle?,TRUE,FALSE,,,,,,
S107, Does Zelda Williams have any cousins on her father's side?,Did Vincenzo Gamba have any cousins on her father's side?,TRUE,FALSE,,,,,,
S108, Would Recep Tayyip Erdoğan be unfamiliar with börek?,Would it be very likely for Mostafa Salimi to be familiar with Sholezard?,TRUE,FALSE,,,,,,
S109, Did children read Harry Potter and the Philosopher's Stone during the Albanian Civil War?,Could people have read Mjegull during the Perak war?,FALSE,FALSE,,,,,,
S110, Did any of Maya Angelou's children follow in her footsteps?,Did any of Ibrahim Moustafa's children follow in his footsteps?,TRUE,TRUE,,,,,,
S111, Did Tony Bennett have more children than he had wives?,Did Orhan Ghazi have more wives than children?,TRUE,TRUE,,,,,,
S112, Is it unusual to play Happy hardcore music at a funeral?,Is it unusual to play Hava Naquila music at a funeral?,TRUE,TRUE,,,,,,
S113, Would Communist Party of the Soviet Union hypothetically support Trickle Down Economics?,Would Zhou Xing prefer a centrally planned economy over a market economy?,TRUE,FALSE,,,,,,
S114, Is breakdancing safe for people with tendonitis?,Would tendonitis seriously impact Samender Juginisov’s ability to do his job?,TRUE,FALSE,,,,,,
S115, Can a Muslim eat a McRib sandwich?,Is it likely for Umid Zokirov to avoid eating a McRib sandwich?,TRUE,FALSE,,,,,,
S116, Was a USB flash drive used in The Godfather?,Could a USB flash drive be pictured in Osmondagi bolalar?,TRUE,FALSE,,,,,,
S117, Can a software engineer work during a power outage?,Can Leah Silber continue doing her job during a power outage?,FALSE,FALSE,,,,,,
S118, Does American Independence Day occur during autumn?,Does Afghan Independence Day occur during Summer?,TRUE,FALSE,,,,,,
S119, Did Karl Marx influence the communist party of China?,Did Karl Marx influence the Ludwig Aigner's political views?,TRUE,TRUE,,,,,,
S120, Do workers at Nissan's headquarters eat with chopsticks?,Are workers at Vidol likely to eat with chopsticks?,TRUE,TRUE,,,,,,
S121, Is accountant a difficult profession for a person suffering from Dyscalculia?,Would Harold Hugh Keen’s ability to perform his job be substantially influenced if he suffered from Dyscalculia?,TRUE,TRUE,,,,,,
S122, Did Douglas Adams use email as a child?,Could Myrto Altinoglou use email when she was a child?,FALSE,FALSE,,,,,,
S123, Could the Eiffel Tower be completely submerged at the Arctic Ocean's deepest point?,Could the Alaviyan Dome be completely submerged at Lake Vanda’s deepest point?,TRUE,TRUE,,,,,,
S124, Did Alan Turing suffer the same fate as Abraham Lincoln?,Did Ivan Shuisky suffer the same fate as Benny Frey?,TRUE,FALSE,,,,,,
S125, Did George Washington drive a Lexus?,Could Khalil Rabenou have bought a car from Iran Khodro Diesel?,FALSE,FALSE,,,,,,
S126, Did Jackie Kennedy wear Dolce & Gabbana to her husband's inauguration?,Could Nusrat Bhutto have worn a Mountain Warehouse jacket when her husband became president?,FALSE,FALSE,,,,,,
S127, Was Godfrey of Bouillon an Islamaphobe?,Was Mario Scialoja likely to be an Islamophobe?,FALSE,TRUE,,,,,,
S128, Was the Eiffel tower used as a symbol of the French Revolution?,Could the Blue House be used as a symbol of the Korean War?,FALSE,FALSE,,,,,,
S129, Did any citizen of San Antonio vote for Boris Johnson?,Could Ri Song-hui have voted for Roh Moo-hyun?,FALSE,FALSE,,,,,,
S130, Can Aerosmith fit in a 2020 Mitsubishi Outlander?,Could all Fath-Ali Shah Qajar’s children hypothetically sit comfortably in a Toyota Corolla?,FALSE,TRUE,,,,,,
S131, Would a CEO typically clean the toilets in a company's building?,Would Pinar Abay typically clean toilets at ING Bank N.V. headquarters?,FALSE,FALSE,,,,,,
S132, Does Robert De Niro use a microscope at work?,Would Süreyya Tahsin Aygün typically use a microscope at work?,TRUE,FALSE,,,,,,
S133, Was Robert Downey Jr. a good role model as a young man?,Is Jazmin Bean a good role model for young girls?,TRUE,FALSE,,,,,,
S134, Did Melania Trump have same profession as Olga Kurylenko?,Does Asami Natsumoto have the same profession as Aeri Ikeda?,TRUE,TRUE,,,,,,
S135, Did Francois Mitterrand ever meet Barak Obama while they both held the position of President?,Could Liau Hiok-hian and Virginia Raggi have met while they both held the position of council member?,FALSE,FALSE,,,,,,
S136, Could a monolingual American read Lenovo's native name?,Could a monolingual Slovenian read Yoshimitsu's native name?,FALSE,FALSE,,,,,,
S137, Would most grand masters know what the French Defense is?,Is it likely for Atousa Pourkashiyan to know what the French Defense is?,TRUE,TRUE,,,,,,
S138, Was dynamite used during Middle Ages warfare?,Could the Kalashnikov rifle have been used in the Second Sino-Japanese War?,FALSE,FALSE,,,,,,
S139, Could Little Women have been a book read by veterans of the civil war?,Could Men of Maizeen español have been a book read by people involved in the Cuban Revolution?,TRUE,TRUE,,,,,,
S140, Was Darth Vader monogamous?,Is Radosław Wojtaszek monogamous?,TRUE,TRUE,,,,,,
S141, Would a vegan eat a traditional Paella dish?,Would a vegan eat a Fabada asturiana dish?,FALSE,FALSE,,,,,,
S142, Can Burundi's communicate with citizens of New Brunswick?,Can Arimasa Mori talk to citizens of New Brunswick with no translators involved?,TRUE,TRUE,,,,,,
S143, Was Amy Winehouse familiar with Brexit?,Could Charles Hesterman Merz have voted for Brexit?,FALSE,FALSE,,,,,,
S144, Has the creator of Futurama lived in multiple centuries?,Has Rodney Strasser lived in more than one century?,TRUE,TRUE,,,,,,
S145, Has Alan Greenspan lived through at least a baker's dozen of president's?,Has Alexander Merkel been a member of at least a baker’s dozen of sports teams?,TRUE,TRUE,,,,,,
S146,Was Elizabeth II the Queen during the Persian Gulf War?,Did Ali Hanteh's career as a sportsman end in the same decade that Bader Munshi was born?,TRUE,TRUE,,,,,,
S147,Was San Antonio the site of a major battle in the 19th century?,Is the city where Matin Parsa was born in close to a river?,TRUE,TRUE,,,,,,
S148,Did Archduke Franz Ferdinand of Austria participate in the Pacific War?,Could Jolina Zamorano and Vivathana Milinthachinda have played together on the same team?,FALSE,FALSE,,,,,,
S149,Does Marco Rubio have a close relationship with Allah?,Is it likely for Michalis Kritharidis to have a deep faith in Allah?,FALSE,FALSE,,,,,,
S150,Would an adherent of Zoroastrianism consult the Quran for religious guidance?,Is it likely for Chandra Khonnokyoong to consult the Diwan Abatur for religious guidance?,FALSE,FALSE,,,,,,
S151,Is the Joker in a healthy romantic relationship?,Are Maxi López and Wanda Nara still in a healthy romantic relationship?,FALSE,,,,,,,
S152,Did J. D. Salinger ever ask his father for a quinceañera?,Would it make sense for Rodney Strasser to ask his father for a quinceañera?,FALSE,FALSE,,,,,,
S153,Does a game engine have a fuel injector?,Does Voxel Farm require a fuel injector to operate?,FALSE,FALSE,,,,,,
S154,Could Tom Cruise explain mental auditing?,is it likely for Julia Nickson-Soul to be familiar with mental auditing?,TRUE,TRUE,,,,,,
S155,Do people of the Iyer caste eat meat?,Was it likely for Divakarapandita to avoid eating a meat dish?,TRUE,FALSE,,,,,,
S156,Could James Brown's ex-wives hold a doubles game of tennis?,Are people who have been in romantic relationship with Belén Rodríguez enought to form a double game of tennis among them?,FALSE,TRUE,,,,,,
S157,Has Gorillaz creator been in more bands than Bernard Sumner?,Has Giacomo Beretta played in more teams than Andrea Schenetti?,TRUE,TRUE,,,,,,
S158,Could Buzz Aldrin have owned a computer?,Could Saovabhak Nariratana have owned a laptop?,FALSE,TRUE,,,,,,
S159,Is Elijah part of a Jewish holiday?,is Marjan Faritous likely to be familiar with Elijah?,TRUE,TRUE,,,,,,
S160,Is Mark Cuban able to visit Northern Mariana Islands without a passport?,Could Arsen Minasian travel to Tehran without requiring a passport?,TRUE,TRUE,,,,,,
S161,Could Johnny Carson's children fill out a water polo team?,Could Ilary Blasi's children fill out a water polo team?,FALSE,FALSE,,,,,,
S162,Could ancient Tony Bennett have a baby in 2020,Could a Cheick Tioté have a son born after 2020?,FALSE,TRUE,,,,,,
S163,Is it safe to share silverware with an HIV positive person?,Was it an unhealthy action for anyone to have sexual relationship with Harry Whittaker-Sheppard in the final days of his life?,TRUE,TRUE,the guy died of HIV,,,,,
S164,"When Hugh Jackman was a teacher, would he have taught The Great Gatsby?",Would it be likely for David Fenimore Anderson to explain the Pythagorian theorem in a class?,TRUE,FALSE,,,,,,
S165,Would Arnold Schwarzenegger be unable to run for President of the US?,Would Marjan Faritous be able to run for US presidency?,FALSE,TRUE,,,,,,
S166,Does a person need a college degree to become a bartender?,Does a person need a college degree to have the same occupation as David Fenimore Anderson?,TRUE,FALSE,,Does a person need a college degree to become a bartender?,,,,
S167,Would a Rockette look odd with a moustache?,Would Marjan Faritous look odd with a moustache?,TRUE,TRUE,,Would a Rockette look odd with a moustache?,,,,
S168,Did Kim Il-sung network on LinkedIn?,Could Shirvanshah Kavus network on LinkedIn?,FALSE,FALSE,,sung network on LinkedIn?,,,,
S169,Do worshipers of Shiva make a pilgrimage to the Holy Land?,Would it be likely for Divakarapandita to travel to Jerusalem as a religous ritual?,FALSE,FALSE,,Do worshipers of Shiva make a pilgrimage to the Holy Land?,,,,
S170,Does Happy Gilmore Productions CEO own a Torah?,Was it likely for Benjamin Nahawandi to own a Torah?,TRUE,TRUE,,Does Happy Gilmore Productions CEO own a Torah?,,,,
S171,Did Pablo Escobar's nickname collection outshine Robert Moses Grove's?,Did Søren Kierkegaard's nickname collection outshine Mark Oliver Everett's?,TRUE,TRUE,,Did Pablo Escobar's nickname collection outshine Robert Moses Grove's?,,,,
S172,Does cell biology teach about the life cycle of Al Qaeda?,Does cell biology teach about the life cycle of Karakol society?,FALSE,FALSE,,Does cell biology teach about the life cycle of Al Qaeda?,,,,
S173,Can a person be diagnosed with a Great Depression?,Can Benjamin Nahawandi be diagnosed with the Great Depression?,FALSE,FALSE,,Can a person be diagnosed with a Great Depression?,,,,
S174,Is the voice of the Genie from Disney's Aladdin still alive?,Did Alan Hamel's wife pass away?,TRUE,FALSE,,Is the voice of the Genie from Disney's Aladdin still alive?,,,,
S175,Did the Beatles write any music in the Disco genre?,Is Lee Hyori a major singer in the Disco genre?,FALSE,FALSE,,Did the Beatles write any music in the Disco genre?,,,,
S176,Did Stone Cold Steve Austin wrestle in three different centuries?,Did Giuseppe Favalli play soccer in three different centuries?,FALSE,FALSE,,Did Stone Cold Steve Austin wrestle in three different centuries?,,,,
S177,Has Ringo Starr been in a relatively large number of bands?,Is it likely for Davide Callà to be alone when he is doing work in most days?,FALSE,FALSE,,Has Ringo Starr been in a relatively large number of bands?,,,,
S178,Will Lhamo Thondup be considered by Catholic Church to be a saint?,Is it likely for Catholic church to consider Mohammad Kazem Shariatmadari as a saint?,FALSE,FALSE,,Will Lhamo Thondup be considered by Catholic Church to be a saint?,,,,
S179,Can you substitute the pins in a bowling alley lane with Dustin Hoffman's Oscars?,Did Paolo Maldini receive enough awards to substitute the pins in a bowling alley lane with his awards?,FALSE,FALSE,,Can you substitute the pins in a bowling alley lane with Dustin Hoffman's Oscars?,,,,
S180,Was the French Revolution televised?,Could Ebrahim Khan Kalantar's wedding have been televised?,FALSE,FALSE,,Was the French Revolution televised?,,,,
